,0
0,356
1,292
2,342
3,498
4,160
5,-98
6,-58
7,68
8,76
9,694
10,990
11,1406
12,2090
13,3032
14,3194
15,2884
16,3136
17,3444
18,3102
19,2710
20,2698
21,3252
22,2700
23,2750
24,3074
25,3158
26,2034
27,1946
28,1630
29,1080
30,974
31,994
32,890
33,704
34,1376
35,1562
36,1324
37,956
38,576
39,1198
40,1492
41,1968
42,2288
43,2668
44,3088
45,3042
46,3006
47,3484
48,3836
49,3714
50,3940
51,3708
52,3316
53,3668
54,4000
55,4128
56,3072
57,3070
58,2638
59,2522
60,2352
61,2230
62,2346
63,2196
64,2186
65,2664
66,2540
67,3044
68,2534
69,2278
70,2474
71,2146
72,1878
73,2578
74,2366
75,2164
76,2566
77,3010
78,3302
79,3588
80,3490
81,3824
82,4200
83,3808
84,4214
85,4120
86,3472
87,3316
88,3486
89,3544
90,3392
91,2770
92,3344
93,3142
94,2568
95,2590
96,2122
97,2524
98,2678
99,2470
100,2262
101,1844
102,2266
103,1970
104,2014
105,2342
106,2178
107,2112
108,1776
109,2294
110,2396
111,2884
112,3122
113,2954
114,3276
115,3414
116,3732
117,3624
118,3556
119,3212
120,3558
121,3534
122,3520
123,3534
124,4120
125,3582
126,3602
127,3940
128,4322
129,4106
130,4178
131,4922
132,4608
133,4558
134,4140
135,3760
136,3498
137,3582
138,2984
139,3042
140,2732
141,2754
142,2438
143,2426
144,2084
145,2536
146,2550
147,2704
148,2718
149,2490
150,2238
151,1832
152,2152
153,2238
154,2862
155,2936
156,3024
157,3172
158,3386
159,3484
160,3142
161,2978
162,3572
163,4042
164,4074
165,3948
166,4148
167,3882
168,3914
169,3154
170,3916
171,3736
172,3384
173,3120
174,2618
175,2724
176,3796
177,3944
178,4016
179,4012
180,3990
181,4278
182,4172
183,3696
184,3778
185,3732
186,4224
187,4484
188,4706
189,4658
190,4610
191,5218
192,5604
193,5874
194,5214
195,5472
196,5774
197,5846
198,5718
199,6008
200,5300
201,4652
202,4144
203,3706
204,3908
205,3492
206,3532
207,3414
208,3814
209,3752
210,3638
211,3816
212,3384
213,2922
214,2514
215,2418
216,2698
217,3212
218,2710
219,3070
220,2772
221,2990
222,3026
223,2654
224,2346
225,2758
226,3142
227,2752
228,2608
229,2808
230,2802
231,2726
232,2748
233,2492
234,3008
235,3196
236,3550
237,3204
238,3050
239,2478
240,2964
241,2456
242,2060
243,1882
244,2472
245,1592
246,1588
247,1856
248,2072
249,2132
250,1984
251,1940
252,1632
253,3006
254,2618
255,2202
256,2180
257,1622
258,1484
259,2076
260,1676
261,1836
262,1636
263,1746
264,2384
265,2168
266,2292
267,2444
268,2832
269,3168
270,3130
271,3154
272,3524
273,3084
274,2988
275,2864
276,3404
277,3548
278,3838
279,3662
280,3374
281,3186
282,3222
283,2822
284,2844
285,2340
286,3070
287,2496
288,2772
289,2554
290,2670
291,2406
292,2780
293,2816
294,3044
295,3040
296,3368
297,3310
298,3598
299,3680
300,3658
301,3004
302,3626
303,3304
304,3788
305,3642
306,3462
307,3442
308,3398
309,3626
310,2892
311,3704
312,3824
313,4020
314,3542
315,3228
316,3254
317,3414
318,3706
319,3208
320,2918
321,2700
322,2836
323,2890
324,3398
325,3258
326,2936
327,3288
328,3434
329,3148
330,3032
331,3102
332,3346
333,3248
334,3286
335,3170
336,3094
337,2790
338,2942
339,2474
340,2892
341,3172
342,3258
343,2666
344,2154
345,2170
346,2254
347,1722
348,2026
349,2242
350,2400
351,2808
352,3174
353,2910
354,2846
355,3144
356,3004
357,2692
358,2364
359,2412
360,2290
361,2484
362,2174
363,2188
364,2068
365,1876
366,2166
367,2292
368,2892
369,3042
370,3026
371,2948
372,2824
373,2872
374,3334
375,3700
376,3556
377,4044
378,3950
379,3320
380,3134
381,2920
382,2820
383,3064
384,2942
385,3634
386,3964
387,3414
388,3354
389,2760
390,2502
391,2966
392,3438
393,3420
394,3184
395,3448
396,3678
397,4078
398,3682
399,3772
400,3650
401,3550
402,3426
403,3624
404,3244
405,3688
406,3524
407,3972
408,4040
409,4356
410,4004
411,4178
412,4460
413,4344
414,4182
415,3632
416,3514
417,3582
418,4274
419,4470
420,4620
421,4932
422,4718
423,4502
424,4412
425,4212
426,4198
427,4758
428,4344
429,4508
430,4878
431,5292
432,5084
433,4070
434,4340
435,4504
436,4570
437,4798
438,4398
439,4250
440,4356
441,4022
442,4534
443,5128
444,5516
445,5306
446,4950
447,4108
448,4000
449,4080
450,3410
451,3230
452,3200
453,3090
454,3154
455,2992
456,2308
457,2928
458,3400
459,2806
460,3354
461,3474
462,3588
463,3110
464,3302
465,3916
466,3712
467,2628
468,2250
469,2132
470,2394
471,2816
472,3216
473,3326
474,3494
475,3878
476,4548
477,4536
478,4124
479,4208
480,3966
481,4306
482,4966
483,5292
484,4824
485,4604
486,4438
487,4232
488,4088
489,3486
490,2950
491,2926
492,2742
493,2416
494,2732
495,2576
496,2768
497,2990
498,3412
499,2620
500,2882
501,2496
502,1976
503,2002
504,1694
505,2146
506,1816
507,1406
508,1780
509,1934
510,1908
511,2174
512,2506
513,2122
514,2748
515,2798
516,2692
517,2652
518,2702
519,2792
520,3806
521,3778
522,3778
523,4158
524,4134
525,3918
526,3232
527,3634
528,3750
529,3118
530,3530
531,3358
532,4076
533,3854
534,3612
535,3720
536,3652
537,3938
538,4012
539,3912
540,3898
541,4028
542,3864
543,4394
544,4706
545,4316
546,4774
547,4508
548,4790
549,3950
550,4098
551,3700
552,3088
553,3860
554,3856
555,3644
556,4192
557,3488
558,3648
559,3534
560,4018
561,4356
562,4552
563,4222
564,3540
565,3118
566,2884
567,2702
568,2734
569,2520
570,2356
571,2060
572,1854
573,2434
574,2288
575,2740
576,2900
577,2896
578,3464
579,2812
580,2696
581,2810
582,2568
583,3242
584,3212
585,3250
586,3492
587,4016
588,4356
589,3908
590,3546
591,3866
592,3692
593,3610
594,3202
595,3520
596,2970
597,3052
598,3640
599,4162
600,4062
601,4092
602,3586
603,3700
604,3498
605,3596
606,4026
607,4014
608,3690
609,3112
610,2840
611,3392
612,2996
613,2834
614,2872
615,3006
616,2916
617,2856
618,2962
619,2470
620,2330
621,2590
622,2746
623,2538
624,2258
625,2126
626,2562
627,2870
628,3218
629,2290
630,2622
631,2846
632,2506
633,2520
634,2482
635,2584
636,2502
637,2490
638,3004
639,3048
640,2794
641,2964
642,2516
643,2564
644,2656
645,2690
646,2296
647,2398
648,2606
649,2648
650,2858
651,2878
652,3084
653,3386
654,3686
655,3550
656,3430
657,3698
658,3566
659,3810
660,3622
661,3628
662,3560
663,3226
664,3338
665,2492
666,2672
667,2418
668,2156
669,2536
670,3320
671,3530
672,3740
673,2880
674,2582
675,2194
676,1948
677,2132
678,2210
679,2110
680,2058
681,1976
682,2280
683,2684
684,3392
685,3646
686,4236
687,4102
688,3654
689,3486
690,3546
691,3638
692,3202
693,3010
694,2992
695,2752
696,2746
697,2294
698,2452
699,2936
700,2702
701,2472
702,2822
703,2356
704,2778
705,3568
706,3486
707,3036
708,3336
709,3538
710,2986
711,2754
712,2296
713,2842
714,2766
715,2834
716,2964
717,2828
718,2780
719,2784
720,2536
721,2482
722,2132
723,2746
724,2280
725,2584
726,2516
727,2546
728,2000
729,1930
730,1802
731,1612
732,1882
733,1480
734,796
735,1364
736,1134
