,0
0,234
1,718
2,576
3,458
4,686
5,1142
6,872
7,922
8,1006
9,796
10,-244
11,252
12,636
13,864
14,978
15,996
16,840
17,1226
18,1506
19,1606
20,1350
21,816
22,556
23,454
24,476
25,648
26,924
27,594
28,762
29,1132
30,832
31,276
32,-150
33,-294
34,292
35,-166
36,6
37,530
38,936
39,976
40,790
41,584
42,442
43,492
44,542
45,332
46,514
47,584
48,992
49,406
50,564
51,208
52,-322
53,-384
54,-168
55,-64
56,252
57,542
58,1012
59,1124
60,1266
61,842
62,1064
63,956
64,654
65,1106
66,1122
67,1284
68,1120
69,1172
70,1030
71,1016
72,82
73,266
74,8
75,268
76,20
77,-180
78,112
79,-182
80,-506
81,-250
82,-174
83,-578
84,-916
85,-970
86,-594
87,-556
88,-720
89,-918
90,-1000
91,-934
92,-532
93,-380
94,-10
95,342
96,380
97,506
98,408
99,270
100,836
101,512
102,412
103,80
104,-136
105,266
106,248
107,600
108,876
109,1204
110,506
111,754
112,568
113,674
114,602
115,936
116,1074
117,1036
118,1244
119,1122
120,1158
121,1388
122,2480
123,1424
124,1676
125,1578
126,1814
127,1418
128,1354
129,1690
130,1368
131,1872
132,1892
133,1670
134,2138
135,1890
136,1646
137,1634
138,1380
139,1936
140,1920
141,1948
142,2002
143,1624
144,1494
145,1548
146,1808
147,1344
148,1886
149,1414
150,1196
151,1164
152,578
153,1154
154,1198
155,650
156,348
157,-74
158,-470
159,-412
160,-484
161,-450
162,-390
163,62
164,672
165,1308
166,1018
167,944
168,1134
169,844
170,1090
171,1442
172,1892
173,1496
174,1962
175,1724
176,1764
177,1754
178,1962
179,1846
180,1974
181,1860
182,1792
183,2074
184,860
185,1042
186,744
187,966
188,958
189,1102
190,1708
191,1810
192,1872
193,2088
194,2056
195,2524
196,2470
197,2370
198,2622
199,2100
200,1996
201,2010
202,2206
203,1710
204,1392
205,1258
206,1592
207,806
208,1090
209,738
210,1202
211,1554
212,1834
213,1768
214,1814
215,2124
216,2694
217,2766
218,3064
219,2672
220,3036
221,3236
222,3422
223,3554
224,3614
225,3920
226,3126
227,3328
228,3444
229,3426
230,3126
231,3132
232,4096
233,3752
234,4480
235,4558
236,4554
237,4488
238,4656
239,5106
240,4614
241,5300
242,5040
243,5330
244,5606
245,5160
246,4796
247,4660
248,4250
249,4478
250,4312
251,4062
252,4430
253,4202
254,4292
255,4620
256,3648
257,3662
258,3662
259,4028
260,3958
261,4732
262,5306
263,4856
264,4576
265,4442
266,4288
267,4848
268,4136
269,3484
270,2974
271,3328
272,3196
273,3564
274,2914
275,3464
276,3078
277,2790
278,2580
279,2558
280,2336
281,2544
282,2654
283,2770
284,3010
285,2884
286,3076
287,2978
288,2934
289,3458
290,3302
291,2868
292,2368
293,2238
294,2226
295,2530
296,2416
297,2480
298,2194
299,2190
300,2302
301,2660
302,2340
303,2816
304,2798
305,3806
306,3644
307,3992
308,3586
309,3680
310,3170
311,3068
312,3256
313,3182
314,2540
315,2140
316,2276
317,1998
318,2224
319,1954
320,2088
321,1898
322,1990
323,2118
324,1686
325,1660
326,1920
