,0
0,-200
1,-474
2,-834
3,-512
4,-974
5,-834
6,-914
7,-1418
8,-1944
9,-2206
10,-2386
11,-2754
12,-2808
13,-3214
14,-3306
15,-3512
16,-4230
17,-4052
18,-4476
19,-5398
20,-5848
21,-6086
22,-5952
23,-6106
24,-6322
25,-6504
26,-6858
27,-6760
28,-7222
29,-7584
30,-8066
31,-8622
32,-8524
33,-8914
34,-9324
35,-9690
36,-9376
37,-9568
38,-9374
39,-9180
40,-9604
41,-10048
42,-9996
43,-10618
44,-10628
45,-10458
46,-10904
47,-12234
48,-12302
49,-11964
50,-12528
51,-12850
52,-13310
53,-13880
54,-14178
55,-14636
56,-15226
57,-15738
58,-16066
59,-16420
60,-16414
61,-16210
62,-15986
63,-15786
64,-16868
65,-17236
66,-17256
67,-17228
68,-17300
69,-17056
70,-17598
71,-17638
72,-17556
73,-16868
74,-16990
75,-17326
76,-17584
77,-16482
78,-16308
79,-16420
80,-16870
81,-16920
82,-16846
83,-17126
84,-17284
85,-17354
86,-17542
87,-18044
88,-18146
89,-18672
90,-18904
91,-19142
92,-18774
93,-18574
94,-18222
95,-18560
96,-18728
97,-18178
98,-17694
99,-17784
100,-16980
101,-16094
102,-16822
103,-16514
104,-17256
105,-17304
106,-16676
107,-16616
108,-16220
109,-16540
110,-16680
111,-16688
112,-16780
113,-16156
114,-16698
115,-16224
116,-15888
117,-15366
118,-15516
119,-15648
120,-15814
121,-15152
122,-15090
123,-15230
124,-15488
125,-15204
126,-15326
127,-15476
128,-16074
129,-16514
130,-16860
131,-16774
132,-16150
133,-15648
134,-15190
135,-14362
136,-14722
137,-14636
138,-14382
139,-14150
140,-13694
141,-14344
142,-14870
143,-15302
144,-14890
145,-15426
146,-15404
147,-16394
148,-16834
149,-16742
150,-16906
151,-16958
152,-17104
153,-17022
154,-17530
155,-17412
156,-16936
157,-17136
158,-17266
159,-17474
160,-16694
161,-16426
162,-16300
163,-15754
164,-15842
165,-15928
166,-15844
167,-16416
168,-15584
169,-15242
170,-16242
171,-16026
172,-16338
173,-16326
174,-16326
175,-15890
176,-15554
177,-14412
178,-15072
179,-15632
180,-15814
181,-15716
182,-15484
183,-15550
184,-15238
185,-14842
186,-14070
187,-14086
188,-13518
189,-13732
190,-13996
191,-14154
192,-14786
193,-15296
194,-15302
195,-15512
196,-15914
197,-15794
198,-15920
199,-15706
200,-15514
201,-15750
202,-15878
203,-16028
204,-16004
205,-16332
206,-16460
207,-16268
208,-16102
209,-16478
210,-16394
211,-15946
212,-15576
213,-16168
214,-16334
215,-16308
216,-16034
217,-15750
218,-15178
219,-15268
220,-14746
221,-15014
222,-15446
223,-15528
224,-15016
225,-15336
226,-15606
227,-14978
228,-15014
229,-14750
230,-14188
231,-14494
232,-13766
233,-13384
234,-13022
235,-12680
236,-12634
237,-12442
238,-11960
239,-12194
240,-12236
241,-11924
242,-12274
243,-12914
244,-12472
245,-12380
246,-12628
247,-12260
248,-12366
249,-12998
250,-12810
251,-13690
252,-13468
253,-13440
254,-13344
255,-13604
256,-13514
257,-13106
258,-13070
259,-12692
260,-12496
261,-13392
262,-13222
263,-13744
264,-14810
265,-14718
266,-14804
267,-14792
268,-14236
269,-13726
270,-13972
271,-15334
272,-15958
273,-16172
274,-15786
275,-15764
276,-15534
277,-16296
278,-15562
279,-15760
280,-16060
281,-15612
282,-15414
283,-15328
284,-14858
285,-13892
286,-14014
287,-13894
288,-13310
289,-13642
290,-13868
291,-13622
292,-13888
293,-13992
294,-14384
295,-14852
296,-15152
297,-15338
298,-15666
299,-15736
300,-15982
301,-16078
302,-15632
303,-16052
304,-16086
305,-15866
306,-15328
307,-15638
308,-15102
309,-14510
310,-14232
311,-14014
312,-14560
313,-15068
314,-14686
315,-14726
316,-14488
317,-14248
318,-14232
319,-14914
320,-15250
321,-14958
322,-14726
323,-14030
324,-13838
325,-13744
326,-13810
327,-13758
328,-13514
329,-13730
330,-13346
331,-13794
332,-14036
333,-13950
334,-13666
335,-14378
336,-15064
337,-15298
338,-14874
339,-15110
340,-14712
341,-14160
342,-14040
343,-14096
344,-14078
345,-14470
346,-14516
347,-14462
348,-14568
349,-14260
350,-14274
351,-14570
352,-13808
353,-14668
354,-14204
355,-14694
356,-14476
357,-14486
358,-14296
359,-14418
360,-14646
361,-15262
362,-15608
363,-15114
364,-15018
365,-14540
366,-14352
367,-14200
368,-14218
369,-14366
370,-13854
371,-13614
372,-14052
373,-14504
374,-14004
375,-13834
376,-13820
377,-14474
378,-14144
379,-14362
380,-14128
381,-13924
382,-13378
383,-13080
384,-13432
385,-13518
386,-13444
387,-14374
388,-15550
389,-16170
390,-16218
391,-16190
392,-16382
393,-16736
394,-16212
395,-15874
396,-15704
397,-15966
398,-15644
399,-15736
400,-16422
401,-16948
402,-17028
403,-16428
404,-16316
405,-16304
406,-16282
407,-16762
408,-16844
409,-16742
410,-17324
411,-17788
412,-17442
413,-17826
414,-17582
415,-17748
416,-18108
417,-17962
418,-17698
419,-17612
420,-17660
421,-16948
422,-16718
423,-16286
424,-16350
425,-16146
426,-16280
427,-15734
428,-15222
429,-15444
430,-14790
431,-14630
432,-14778
433,-14220
434,-14276
435,-14194
436,-14198
437,-13736
438,-14138
439,-14236
440,-13730
441,-13904
442,-14422
443,-14616
444,-15150
445,-15038
446,-14956
447,-14756
448,-15228
449,-15934
450,-16154
451,-16820
452,-16858
453,-16716
454,-17284
455,-17444
456,-17406
457,-17288
458,-17328
459,-16908
460,-16114
461,-16982
462,-16848
463,-16360
464,-15954
465,-15344
466,-15118
467,-15018
468,-14622
469,-14084
470,-15050
471,-15366
472,-15874
473,-15246
474,-15044
475,-14978
476,-14878
477,-15432
478,-16226
479,-15870
480,-15314
481,-15184
482,-15416
483,-15910
484,-15528
485,-16050
486,-16982
487,-16540
488,-16356
489,-16492
490,-16280
491,-15986
492,-15574
493,-15264
494,-15952
495,-15652
496,-15212
497,-15170
498,-15420
499,-16078
500,-15794
501,-16376
502,-16994
503,-16872
504,-17256
505,-17352
506,-18122
507,-18304
508,-18262
509,-17816
510,-17602
