,0
0,-192
1,-338
2,-824
3,-1006
4,-1484
5,-1898
6,-2186
7,-2264
8,-2402
9,-3216
10,-4606
11,-4822
12,-5554
13,-6030
14,-6436
15,-7150
16,-7216
17,-7614
18,-8004
19,-7730
20,-7802
21,-7956
22,-8178
23,-8820
24,-9066
25,-9548
26,-9716
27,-10104
28,-10462
29,-10484
30,-11120
31,-11660
32,-11952
33,-12518
34,-12486
35,-13664
36,-13950
37,-13526
38,-13484
39,-12874
40,-12450
41,-12246
42,-13016
43,-12934
44,-12812
45,-12712
46,-13056
47,-13156
48,-13302
49,-13096
50,-13068
51,-13046
52,-12942
53,-13340
54,-13366
55,-12988
56,-12634
57,-13040
58,-13510
59,-13742
60,-13248
61,-14020
62,-13552
63,-13282
64,-13618
65,-13474
66,-12878
67,-13104
68,-14008
69,-13728
70,-13792
71,-12736
72,-12738
73,-12926
74,-13254
75,-13806
76,-13836
77,-13730
78,-13832
79,-13442
80,-13522
81,-14072
82,-13786
83,-13418
84,-14072
85,-13628
86,-13288
87,-13078
88,-12428
89,-12586
90,-12356
91,-12572
92,-13116
93,-13082
94,-13208
95,-13088
96,-12874
97,-13272
98,-14030
99,-14158
100,-14104
101,-14956
102,-15698
103,-15004
104,-14328
105,-14504
106,-14176
107,-13598
108,-13334
109,-13112
110,-12938
111,-12966
112,-14070
113,-13906
114,-14154
115,-13472
116,-13316
117,-13012
118,-12816
119,-12524
120,-12706
121,-12654
122,-12522
123,-12598
124,-13208
125,-12934
126,-12928
127,-13194
128,-13018
129,-12474
130,-11932
131,-12376
132,-12100
133,-11988
134,-11922
135,-11722
136,-11678
137,-11800
138,-12004
139,-12304
140,-11952
141,-11554
142,-11450
143,-11080
144,-11312
145,-11062
146,-11696
147,-11936
148,-11928
149,-11042
150,-10944
151,-11746
152,-12166
153,-11380
154,-11940
155,-11592
156,-11146
157,-11158
158,-11804
159,-11926
160,-12900
161,-12640
162,-12968
163,-12164
164,-12348
165,-11870
166,-12072
167,-12032
168,-11716
169,-11644
170,-12060
171,-12566
172,-12072
173,-11946
174,-11172
175,-11232
176,-11834
177,-11780
178,-11450
179,-11006
180,-11446
