,0.2,0.4,0.6,0.8,1,1.2
0,182,98,142,154,-344,-614
1,748,702,964,176,270,-2108
2,798,790,2114,586,1130,-4324
3,556,842,3234,1012,1840,-7800
4,394,954,5186,1624,3918,-8554
5,178,1132,6444,3308,7090,-8404
6,-128,1690,7270,5694,8630,-8308
7,286,2604,7184,8382,8542,-7972
8,-82,3256,7256,8392,8442,-8124
9,-342,3132,7266,8068,7738,-8128
10,-146,3870,7204,8100,8122,-7894
11,-580,3976,7406,7852,7998,-8230
12,50,4686,7292,7742,7628,-7954
13,88,5190,7490,7872,7936,-8210
14,322,5826,7822,7826,8254,-8170
15,112,6080,7710,8100,8512,-7680
16,246,5754,7376,8142,8222,-8130
17,-102,5722,6922,8048,7880,-7788
18,-116,5096,6978,7732,7946,-8246
19,-312,4834,6996,7408,8132,-8350
20,-344,5268,7344,7864,8232,-8004
21,18,5454,7318,8118,8106,-8082
22,116,5482,7106,7838,7968,-8114
23,142,5544,7210,7972,8160,-7772
24,-134,5462,7260,7802,7896,-8056
25,-274,5264,7198,7886,8224,-7788
26,-130,5184,6894,7424,8142,-8268
27,-288,5368,6928,7356,8066,-8388
28,128,5294,7042,7662,8238,-8136
29,472,5858,7048,7802,8044,-7968
30,-160,5150,7160,7656,7712,-8172
31,-642,4678,6856,7568,7898,-8246
32,-330,5354,7292,7834,8270,-8138
33,-388,5366,7214,7494,8212,-8248
34,-640,4902,6566,7764,8166,-8036
35,-8,5264,7420,7708,7868,-8258
36,204,5412,7418,7546,8160,-8390
37,-6,5470,6908,7540,8058,-8374
38,-166,5530,7190,7520,8244,-8068
39,-182,5848,7040,7960,8266,-7990
40,154,5642,7396,7656,7834,-8264
41,10,5526,7586,7518,8034,-8396
42,258,5682,7250,7836,8016,-8260
43,284,5274,7204,8002,7920,-8252
44,102,5414,7318,7620,7960,-8276
45,174,5524,7232,7728,7876,-8026
46,-84,5324,6936,7582,7982,-7910
47,-12,5232,7156,7400,8328,-7866
48,242,5244,7184,7756,8364,-8064
49,438,5000,7110,7588,7976,-7954
50,408,4682,7172,7758,7904,-8382
51,150,4928,6942,7834,7772,-8184
52,412,5386,6912,7590,7934,-8370
53,338,5512,7090,7534,8400,-8098
54,-106,5474,7268,7668,8030,-8180
55,186,5844,7538,7556,8232,-7884
56,-144,5438,7198,7480,7962,-8078
57,-66,5450,7124,7576,8172,-8300
58,-314,5378,7342,7496,8110,-8176
59,-224,5166,7282,7344,7886,-8298
60,188,5548,7474,7522,8038,-8210
61,72,5304,6960,7646,7922,-8052
62,-24,5464,7124,7620,8038,-8124
63,-386,5316,7296,7582,8144,-8196
64,-358,5744,7366,8050,8164,-8374
65,-530,5838,7308,8124,8036,-8196
66,-978,5518,7258,7920,8080,-8376
67,-1198,5060,7178,7752,7974,-8238
68,-606,5326,7438,7716,8048,-8120
69,-190,5336,7256,7798,8166,-8134
70,-598,5338,6978,7648,7566,-8074
71,-246,5644,7618,7918,7840,-8008
72,-78,5660,7372,8056,8114,-8074
73,-96,5676,6812,7638,7946,-7982
74,200,5762,7132,8228,8194,-7728
75,140,5642,7254,7538,8018,-8154
76,-248,5218,6976,7524,7868,-8336
77,-560,5258,7276,7790,7896,-7730
78,-268,5446,7340,7758,8036,-7754
79,-386,5270,7234,7722,8100,-8230
80,-184,5400,7284,7702,7702,-8198
81,-342,5098,7284,7878,7982,-8328
82,-100,5082,7204,7518,7752,-8394
83,-106,5264,7428,7672,8134,-8376
84,86,5276,7302,7318,8006,-8038
85,542,5556,7402,8036,8084,-8116
86,-86,4926,7288,7652,7886,-8256
87,74,5472,7416,7910,8016,-8202
88,-2,5746,7106,7882,7822,-8118
89,-336,5858,7112,8218,8136,-7904
90,-54,6238,7154,7960,7712,-8316
91,-18,6024,7212,7678,7902,-8434
92,214,5764,7294,7776,8040,-7942
93,332,5538,7204,7496,7788,-8204
94,434,5550,7256,7590,8118,-8524
95,114,5246,6866,7490,8016,-8434
96,-194,5286,6962,7428,8026,-8036
97,230,5386,7224,7714,8240,-7968
98,602,5618,6794,8076,7992,-8214
99,558,5544,7494,7918,8046,-8280
100,532,5796,7734,7832,8176,-8198
101,82,5536,7228,7702,7948,-8262
102,-182,4978,6966,7450,7990,-8050
103,-342,5016,7232,7812,7714,-8554
104,-674,4898,7040,7792,7874,-8464
105,-808,4806,6920,8016,7704,-8304
106,-1166,4674,6948,7642,7988,-8358
107,-934,4854,7120,7126,7956,-7824
108,-446,5358,7092,7710,7736,-7726
109,-394,5342,6960,7716,7702,-8144
110,-412,5320,6978,7838,8272,-8152
111,-722,5158,6922,7664,8206,-8128
112,-922,4984,6654,7666,7972,-8020
113,-742,5178,6764,7760,8020,-8026
114,-820,5298,6886,7846,8112,-7976
115,-654,5936,7262,7664,8286,-8014
116,-838,5334,7218,7738,8110,-8320
117,-634,5494,6964,7434,7824,-8438
118,-610,5204,7170,7384,8152,-8128
119,-638,5262,7276,7854,7960,-8046
120,-266,5554,7202,7586,8044,-8098
121,14,5442,7098,7712,8198,-8378
122,208,5484,7204,7790,8126,-8190
123,216,5486,7228,7980,7938,-8160
124,256,5686,7574,7746,7806,-8196
125,480,5468,7204,7988,8044,-8318
126,652,5588,7290,7500,7724,-8302
127,454,5460,7172,7762,8224,-8006
128,568,5666,7218,7966,8112,-8104
129,166,5580,7228,7950,7894,-8108
130,776,5762,7286,7946,7948,-7830
131,642,5778,7186,7798,8238,-8012
132,246,4956,7134,7582,7542,-8266
133,364,5284,7258,8240,7862,-8192
134,44,4878,7274,7942,7840,-8512
135,240,5310,7194,7706,8166,-8138
136,588,5502,7486,7664,8176,-8200
137,508,5678,7046,7730,8160,-8156
138,814,5932,7192,7768,8158,-8222
139,238,5358,6872,7490,7940,-8380
140,72,4936,7086,7590,8102,-7900
141,86,4952,7160,7616,8002,-8224
142,-72,5032,7014,7598,7826,-8222
143,464,5308,7242,7538,7910,-8086
144,286,5274,7244,8162,8072,-8008
145,494,5640,6918,7892,8022,-7958
146,386,5412,7046,7714,7990,-8094
147,-400,5092,6690,7516,7990,-8398
148,-602,4814,6948,7982,7842,-8204
149,-608,4878,6952,8034,7940,-8120
150,-414,5396,7412,7580,8468,-8094
151,-268,5532,6942,7316,7650,-8072
152,76,5684,7228,7766,7548,-8322
153,370,5974,7820,8318,8096,-7932
154,178,5614,7364,8022,8406,-7782
155,240,5874,7304,7876,8140,-8062
156,476,5978,6988,7932,8276,-8192
157,444,5542,6998,8010,8138,-8150
158,466,5410,6928,7802,8186,-8164
159,-24,5150,6814,7630,8228,-7906
160,-308,5088,6726,7312,7832,-8340
161,-134,5248,6896,7644,7968,-8160
162,-384,5430,6876,7704,8108,-8364
163,-126,5300,7184,7628,8200,-8222
164,158,5284,7410,7518,8090,-8384
165,426,5514,7388,7852,8362,-8040
166,334,5468,7034,7426,8104,-8322
167,450,5332,6740,7694,8082,-8404
168,742,5776,7030,7868,8042,-7542
169,620,5674,7060,7978,8350,-8038
170,598,5372,7054,7478,7836,-8270
171,472,5488,7058,7504,8042,-8208
172,552,5710,7264,7616,8120,-7944
173,606,5468,7328,7926,8132,-7864
