,0
0,66
1,-242
2,-146
3,-200
4,-182
5,-588
6,556
7,1060
8,2036
9,1632
10,2078
11,2394
12,3076
13,3088
14,2972
15,3032
16,3256
17,3228
18,3358
19,3634
20,3360
21,3616
22,4498
23,4072
24,4024
25,3856
26,4396
27,4588
28,4728
29,5030
30,5298
31,5208
32,5852
33,5712
34,6296
35,5800
36,6342
37,6010
38,5786
39,6170
40,6272
41,6898
42,6630
43,7138
44,6986
45,6488
46,6742
47,6942
48,6912
49,7090
50,6912
51,6036
52,6576
53,6964
54,6704
55,7132
56,7144
57,7402
58,7042
59,6926
60,7518
61,7548
62,7754
63,8160
64,8762
65,8688
66,9198
67,9666
68,9756
69,9320
70,9348
71,9310
72,8908
73,8338
74,8028
75,8118
76,9056
77,9392
78,9112
79,8116
80,7502
81,7606
82,8452
83,8774
84,8564
85,7928
86,7762
87,8226
88,8046
89,8788
90,8928
91,9416
92,9286
93,9396
94,9458
95,10232
96,10260
97,10470
98,9978
99,10604
100,9948
101,10492
102,11354
103,11976
104,12052
105,12122
106,12578
107,12898
108,13896
109,13808
110,13338
111,13274
112,12534
113,12512
114,12584
115,11938
116,11422
117,11124
118,11194
119,10472
120,9558
121,9392
122,10008
123,10006
124,9960
125,9738
126,8918
127,8698
128,9040
129,9582
130,10322
131,10190
132,9408
133,8986
134,9410
135,9320
136,9766
137,9946
138,10230
139,9782
140,9904
141,10230
142,9784
143,9876
144,9624
145,9644
146,9532
147,9314
148,9142
149,9644
150,9938
151,10074
152,10218
153,10130
154,9904
155,10280
156,10678
157,10860
158,10662
159,10048
160,10412
161,10406
162,10642
163,10900
164,10636
165,11160
166,11034
167,10768
168,10456
169,10582
170,11608
171,11600
172,11978
173,11362
174,11596
175,12084
176,12088
177,12388
178,12296
179,11704
180,11898
181,11090
182,10736
183,10566
184,10664
185,10454
186,10394
187,10126
188,10190
189,10486
190,10794
191,10872
192,10780
193,10548
194,10074
195,10414
196,10442
197,9626
198,9778
199,9050
200,9212
201,9484
202,9134
203,8402
204,8162
205,7608
206,7874
207,8108
208,8404
209,8160
210,8150
211,8330
212,8208
213,8914
214,9014
215,9836
216,10102
217,10234
218,10424
219,10332
220,11096
221,11232
222,11442
223,10420
224,10232
225,9948
226,10364
227,10508
228,10540
229,10796
230,10708
231,10526
232,10694
233,9984
234,10002
235,10214
236,10384
237,10480
238,10692
239,10750
240,10630
241,11156
242,11432
243,11604
244,10962
245,11488
246,11478
247,11114
248,11600
249,11670
250,11244
251,10826
252,10472
253,11072
254,11236
255,11058
256,11534
257,11484
258,11054
259,11610
260,11842
261,12454
262,12822
263,12784
264,12650
265,12120
266,11584
267,11198
268,10784
269,11190
270,10242
271,10246
272,10192
273,10820
274,10868
275,11192
276,11322
277,11784
278,11396
279,11472
280,11196
281,11430
282,11170
283,12192
284,12406
285,12532
286,12496
287,12924
288,13688
289,13486
290,13856
291,15002
292,14860
293,14358
294,14756
295,14176
296,14320
297,13496
298,14174
299,12744
300,12546
301,13050
302,13572
303,13516
304,14212
305,15190
306,15650
307,15946
308,16434
309,16580
310,16798
311,17578
312,18020
313,18024
314,17736
315,16780
316,16960
317,16878
318,17228
319,17324
320,17488
321,17886
322,18036
323,17266
324,17798
325,16718
326,17010
327,17314
328,16746
329,16294
330,16222
331,16074
332,16204
333,15546
334,15888
335,15848
336,16306
337,15504
338,15768
339,16248
340,16218
341,16748
342,16240
343,15778
344,16094
345,16114
346,16240
347,16846
348,16678
349,16294
350,16168
351,16360
352,15608
353,15052
354,14460
355,14622
356,14780
357,14692
358,14732
359,14154
360,14292
361,13846
362,14056
363,13778
364,13836
365,13312
366,12904
367,13010
368,13120
369,12608
370,12450
371,12086
372,12156
373,11662
374,12036
375,11756
376,10954
377,12266
378,11774
379,11378
380,11914
381,11766
382,10772
383,10058
384,10206
385,10250
386,10940
387,10418
388,10466
389,10478
390,10492
391,10462
392,11252
393,11108
394,10372
395,10114
396,10422
397,10402
398,11266
399,11450
400,11848
401,11752
402,11906
403,11988
404,11706
405,12284
406,12696
407,12584
408,12704
409,13204
410,12800
411,12604
412,12500
413,12990
414,12950
415,12832
416,12582
417,12546
418,12100
419,12646
420,12564
421,12326
422,12504
423,12074
424,11886
425,12452
426,12516
427,12776
428,12584
429,12354
430,11852
431,12274
432,11964
433,11608
434,11360
435,12212
436,12244
437,12482
438,11896
439,11946
440,10966
441,10852
442,10942
443,11200
444,11494
445,11454
446,11778
447,11292
448,10860
449,10522
450,10812
451,10948
452,10722
453,11272
454,10692
455,10524
456,10450
457,10302
458,10728
459,10728
460,11158
461,10936
462,10652
463,11018
464,11310
465,10554
466,10240
467,10192
468,10452
469,10756
470,11306
471,11630
472,11574
473,11742
474,11508
475,11606
476,11030
477,11050
478,11208
479,11482
480,11054
481,10836
482,10960
483,12306
484,12336
485,11742
486,11672
487,11794
488,11634
489,11576
490,11526
491,11458
492,12686
493,12754
494,12640
495,12302
496,12736
497,12872
498,13152
499,13560
500,12910
501,11470
502,12034
503,12854
504,12792
505,13128
506,13334
507,13384
508,12262
509,12502
510,13502
511,13294
512,13300
513,13188
514,14020
515,14076
516,14136
517,13070
518,12760
519,13264
520,12826
521,12938
522,12460
523,12618
524,12992
525,12362
526,12344
527,12282
528,13062
529,12438
530,13078
531,13054
532,13664
533,13508
534,14340
535,14050
536,14530
537,14426
538,14570
539,14220
540,15010
541,14816
542,14594
543,14686
544,14430
545,14868
546,15384
547,15032
548,14870
549,15056
550,15456
551,14650
552,14264
553,14192
554,14304
555,14324
556,14102
557,14618
558,14746
559,14430
560,14516
561,14602
562,14228
563,14038
564,14252
565,14134
566,14128
567,13544
568,13652
569,13476
570,13654
571,13052
572,12850
573,12582
574,12072
575,12054
576,11444
577,12050
578,12500
579,12620
580,12508
581,11826
582,12004
583,12428
584,12340
585,12844
586,12702
587,13200
588,13288
589,13812
590,13612
591,13614
592,13322
593,12558
594,12110
595,12776
596,12774
597,12410
598,12340
599,12502
600,12954
601,13346
602,12906
603,12206
