,0
0,142
1,-404
2,64
3,106
4,-508
5,-580
6,-906
7,-588
8,-816
9,-622
10,-250
11,-274
12,-802
13,-774
14,-552
15,-82
16,78
17,20
18,116
19,252
20,-86
21,-570
22,-452
23,-974
24,-1156
25,-1022
26,-1178
27,-2274
28,-2554
29,-2466
30,-2634
31,-2556
32,-2890
33,-2702
34,-2240
35,-2738
36,-2656
37,-3482
38,-3266
39,-3522
40,-3784
41,-3576
42,-3462
43,-3056
44,-2826
45,-1980
46,-2160
47,-2582
48,-2378
49,-2676
50,-2742
51,-3026
52,-2826
53,-2688
54,-2578
55,-2526
56,-2722
57,-2512
58,-2698
59,-2240
60,-2710
61,-2780
62,-3060
63,-3180
64,-3214
65,-3190
66,-2912
67,-2698
68,-2522
69,-2624
70,-2634
71,-3284
72,-3432
73,-3298
74,-2850
75,-2664
76,-3082
77,-3050
78,-3376
79,-3726
80,-3492
81,-3462
82,-3198
83,-3686
84,-3136
85,-3332
86,-2822
87,-3374
88,-3164
89,-3232
90,-2970
91,-3056
92,-2880
93,-2566
94,-3320
95,-3266
96,-3168
97,-3398
98,-3648
99,-3680
100,-3124
101,-3080
102,-3076
103,-2512
104,-2542
105,-2512
106,-2102
107,-2660
108,-2624
109,-3184
110,-3108
111,-3628
112,-2882
113,-2566
114,-2410
115,-1846
116,-1788
117,-2072
118,-2086
119,-1724
120,-2320
121,-1996
122,-2330
123,-2404
124,-2624
125,-2560
126,-3430
127,-3262
128,-2774
129,-3228
130,-3168
131,-2924
132,-2646
133,-2970
134,-2976
135,-3086
136,-3288
137,-3248
138,-3114
139,-2656
140,-2684
141,-2964
142,-3072
143,-3306
144,-3120
145,-2620
146,-2500
147,-2380
148,-2680
149,-2176
150,-1942
151,-1964
152,-1600
153,-1728
154,-1436
155,-972
156,-1466
157,-1362
158,-1652
159,-1134
160,-754
161,-682
162,-588
163,-326
164,-468
165,-974
166,-656
167,-564
168,-798
169,-726
170,-1240
171,-724
172,-1392
173,-1706
174,-1562
175,-1744
176,-1762
177,-2166
178,-1188
179,-1310
180,-1084
181,-976
182,-706
183,-646
184,-240
185,8
186,328
187,980
188,476
189,264
190,74
191,60
192,-134
193,254
194,432
195,652
196,92
197,-130
198,-314
199,-4
200,-382
201,-218
202,-434
203,-682
204,-464
205,-650
206,-722
207,-242
208,-70
209,-316
210,-418
211,-360
212,-104
213,-254
214,190
215,522
216,74
217,304
218,226
219,290
220,488
221,852
222,692
223,414
224,400
225,198
226,784
227,468
228,398
229,-154
230,-432
231,-680
232,-804
233,-754
234,-420
235,-800
236,-1262
237,-1156
238,-1424
239,-1038
240,-1018
241,-752
242,-562
243,-632
244,-360
245,70
246,254
247,408
248,384
249,722
250,980
251,684
252,378
253,404
254,450
255,-116
256,-630
257,-66
258,172
259,172
260,308
261,160
262,296
263,208
264,6
265,52
266,-100
267,176
268,70
269,178
270,-208
271,-390
272,252
273,680
274,614
275,388
276,566
277,906
278,718
279,1256
280,1538
281,1362
282,1436
283,1584
284,1302
285,1660
286,1218
287,754
288,982
289,492
290,824
291,1354
292,1538
293,1386
294,1320
295,1008
296,1418
297,1426
298,1362
299,970
300,1638
301,1606
302,1066
303,948
304,1012
305,770
306,946
307,624
308,314
309,100
310,-200
311,-80
312,-560
313,-404
314,-580
315,-922
316,-454
317,-1010
318,-1540
319,-1958
320,-1754
321,-2134
322,-2050
323,-2134
324,-2318
325,-2332
326,-2240
327,-1986
328,-1570
329,-1628
330,-1468
331,-1752
332,-1634
333,-1654
334,-1996
335,-1786
336,-1984
337,-1604
338,-1804
339,-1618
340,-1422
341,-814
342,-486
343,-230
344,-214
345,-228
346,696
347,746
348,142
349,192
350,832
351,680
352,164
353,536
354,1458
355,1820
356,1864
357,2014
358,1686
359,1402
360,1144
361,1246
362,1708
363,1672
364,2030
365,2282
366,2110
367,1920
368,2400
369,2250
370,2196
371,2458
372,2956
373,2830
374,2988
375,3504
376,4208
377,4156
378,4032
379,3708
380,3498
381,3354
382,3444
383,3506
384,3420
385,2848
386,3366
387,3306
388,3064
389,3140
390,3340
391,2570
392,2812
393,2684
394,2292
395,2162
396,2354
397,1716
398,1476
399,1706
400,2030
401,2250
402,2906
403,2386
404,2172
405,2268
406,2096
407,2040
408,2506
409,2438
410,1910
411,1942
412,1750
413,1412
414,1342
415,2134
416,2602
417,2526
418,2110
419,1392
420,1558
421,1984
422,2270
423,2132
424,2334
425,2872
426,2522
427,2910
428,2724
429,2720
430,2804
431,3202
432,3178
433,2676
434,2678
435,2780
436,3322
437,2944
438,3378
439,3366
440,3662
441,3438
442,3484
443,3354
444,3204
445,3294
446,3178
447,3414
448,3140
449,3222
450,3590
451,3326
452,3352
453,3960
454,3888
455,4370
456,4702
457,4456
458,4142
459,3614
460,3250
461,3604
462,3640
463,3450
464,3862
465,3918
466,3958
467,3432
468,3548
469,3254
470,3884
471,4564
472,4740
473,4652
474,4310
475,4194
476,3646
477,3362
478,3782
479,3612
480,4052
481,3820
482,3892
483,4034
484,4720
485,4558
486,5450
487,5468
488,5098
489,4466
490,4878
491,5002
492,4806
493,4060
494,4140
495,3764
496,4270
497,4592
498,5326
499,6096
500,6224
501,6624
502,6842
503,6802
504,6668
505,6752
506,6868
507,6816
508,6776
509,6790
510,6238
511,6436
512,6360
513,6222
514,5950
515,5894
516,6052
517,6300
518,6672
519,6212
520,6040
521,6450
522,5842
523,5540
524,5980
525,6270
526,6148
527,5418
528,5086
529,4664
530,5168
531,4740
532,4930
533,4428
534,4452
535,4132
536,4238
537,3160
538,2500
539,2890
540,3164
541,3460
542,3428
543,3532
544,3244
545,3588
546,3398
547,3372
548,3370
549,3220
550,3202
551,3792
552,3782
553,3758
554,3998
555,3532
556,3314
557,3280
558,3762
559,4008
560,3442
561,2954
562,2354
563,2386
564,2008
565,2156
566,2494
567,2610
568,2492
569,2542
570,2852
571,3082
572,3124
573,3256
574,3162
575,2816
576,2866
577,2562
578,1986
579,2248
580,2278
581,2382
582,2532
583,2878
584,2868
585,3154
586,3248
587,3114
588,3344
589,3840
590,3472
591,3766
592,3286
593,2910
594,2438
595,2020
596,2102
597,2298
598,2114
599,2582
600,2400
601,2044
602,2186
603,2334
604,1942
605,1964
606,1776
607,1850
608,1472
609,1698
610,1890
611,1908
612,1672
613,1794
614,1742
615,1832
616,1880
617,2136
618,1954
619,1810
620,2532
621,2232
622,2412
623,2028
624,1858
625,1774
626,1214
627,1576
628,550
629,1106
630,1198
631,936
632,602
633,784
634,604
635,848
636,792
637,1346
638,1256
639,968
640,1288
641,1272
642,1740
643,1616
644,1782
645,1568
646,1574
647,1578
648,906
649,552
650,376
651,406
652,152
653,-2
654,360
655,670
656,982
657,1362
658,1294
659,1528
660,1772
661,2370
662,2726
663,2424
664,2442
665,2658
666,2646
667,2596
668,2440
669,2728
670,2342
671,2624
672,2708
673,2578
674,2890
675,2352
676,2624
677,2354
678,2776
679,2668
680,3246
681,3102
682,2712
683,2844
684,2842
685,2504
686,2646
687,2486
688,3188
689,3412
690,2806
691,2984
692,3488
693,3988
694,3838
695,3800
696,4266
697,3936
698,4408
699,3894
700,4010
701,3722
702,3304
703,3166
704,3840
705,3348
706,3112
707,3420
708,3230
709,3492
710,3692
711,3782
712,3640
713,3694
714,3962
715,3904
716,3826
717,3724
718,4070
