,0.2,0.4,0.6,0.8,1,1.2
0,354,422,158,24,38,146
1,532,892,1200,674,6,852
2,546,1306,2466,1550,-6,2110
3,512,1764,3870,3058,-104,4278
4,428,2664,6254,5852,10,8482
5,120,2876,8730,9004,0,11658
6,-260,3648,9954,10526,-10,11956
7,136,5270,9954,10800,422,11272
8,12,6020,9744,10572,810,11030
9,-294,6170,9558,10362,1220,10822
10,-178,7154,10032,10350,2510,11114
11,-612,6692,9450,10282,5426,11088
12,4,7308,9200,10412,9966,11028
13,68,7560,9552,10808,11950,11092
14,370,7632,10026,10522,11464,11358
15,178,8026,10030,10644,11338,11430
16,358,7744,9668,10692,11118,11256
17,14,7574,9654,10844,10954,11022
18,-32,7090,9152,10330,10270,10918
19,-292,7044,9410,10218,10494,10956
20,-228,6906,9620,10508,10730,11188
21,70,7192,9830,10704,10902,10908
22,58,7428,9806,10602,10790,11124
23,84,7398,9652,10424,10776,11216
24,-202,7320,9528,10078,11050,11116
25,-258,7470,9884,10436,10986,11038
26,-134,7422,9512,10268,10740,11176
27,-210,7574,9498,10064,10768,10926
28,126,7408,9362,10244,10776,11220
29,518,7664,9460,10730,10832,11192
30,-102,7322,9498,10428,10904,11082
31,-570,6778,9428,10150,10740,10892
32,-308,7212,9642,10598,11166,11106
33,-310,6926,9526,10244,10800,11422
34,-542,6732,9614,10272,10894,11072
35,120,7028,9716,10198,11028,11238
36,250,7290,9546,10652,10770,10772
37,-26,7306,9446,10336,10642,11152
38,-174,7506,9458,10122,11084,11408
39,-130,7332,9610,10472,10810,11464
40,146,7140,9726,10594,10734,11440
41,24,7032,9712,10300,10702,11092
42,314,7332,9492,10200,10994,10900
43,352,7498,9268,10688,10564,11098
44,134,7580,9708,10814,10846,11292
45,170,7708,9506,10488,10650,11202
46,-34,7648,9548,10318,10728,11344
47,0,7448,9762,10804,10840,11068
48,278,7366,9766,10512,10714,11096
49,358,7428,9900,10420,11240,11480
50,362,7280,9724,10352,10820,11172
51,94,7280,9572,10222,10860,11024
52,348,7432,9214,10188,10988,10756
53,288,7516,9218,10638,11120,11266
54,-152,7164,9544,10424,10668,11104
55,148,7388,10096,10840,10922,11280
56,-132,6708,9180,10376,10782,11154
57,-88,6748,9270,10190,10616,10970
58,-286,6922,9500,10092,10336,11096
59,-286,6856,9830,10232,10518,10888
60,212,7566,9894,10728,10990,11444
61,104,7460,9620,10620,11004,11056
62,-14,7798,9932,10404,10686,10904
63,-418,7390,9486,10240,10838,10654
64,-334,7772,9484,10512,10890,11182
65,-468,7568,9400,10566,10840,11520
66,-928,7306,9374,10612,10704,11240
67,-1104,7024,9634,10518,10818,11074
68,-586,7250,10032,10608,10980,11316
69,-144,7388,9630,10420,10942,11194
70,-624,7412,9244,10332,11176,11180
71,-258,7748,9866,10564,11008,11408
72,-60,7410,9814,10650,10850,11392
73,-90,7186,9360,10378,10424,10918
74,240,7264,9610,10648,10756,11184
75,190,7428,9872,10718,10676,10966
76,-196,7180,9288,10480,10590,10822
77,-442,6984,9544,10518,10956,10950
78,-180,7176,9950,10256,10968,11262
79,-226,7102,9810,10164,10898,10978
80,-104,7500,9780,10036,10698,11026
81,-278,7446,9696,10254,11102,11126
82,-52,7174,9464,10248,10850,10892
83,10,7006,9410,10254,10766,11030
84,158,6846,9254,10190,10986,10804
85,576,7150,9532,10360,11012,10862
86,-70,6744,9128,9974,10396,11226
87,46,6896,9656,10378,10820,11366
88,66,7042,9504,10386,10904,10948
89,-316,7300,9676,10786,11206,11260
90,-98,7584,9852,10760,11126,11078
91,-188,7374,9766,10638,11190,11460
92,134,7342,9940,10282,11012,11314
93,280,6752,9438,10070,10916,11084
94,392,6818,9312,10180,10360,11110
95,92,6782,9626,10328,10642,10950
