,0
0,-140
1,38
2,-468
3,-1146
4,-1432
5,-1382
6,-2192
7,-1896
8,-2704
9,-2404
10,-2890
11,-3410
12,-4088
13,-4564
14,-5242
15,-4802
16,-4454
17,-4276
18,-3974
19,-3312
20,-3526
21,-3514
22,-3680
23,-3728
24,-4012
25,-3870
26,-3862
27,-3702
28,-3956
29,-4092
30,-4376
31,-4156
32,-4210
33,-5036
34,-5286
35,-5834
36,-5374
37,-5838
38,-6426
39,-6698
40,-7312
41,-7394
42,-7186
43,-7158
44,-6250
45,-6924
46,-6996
47,-6604
48,-6940
49,-7590
50,-7454
51,-7486
52,-7628
53,-7682
54,-7394
55,-6830
56,-6292
57,-5654
58,-5118
59,-4522
60,-4894
61,-5184
62,-4636
63,-4546
64,-4668
65,-5290
66,-5114
67,-5850
68,-5190
69,-5554
70,-5692
71,-5266
72,-4750
73,-5308
74,-5244
75,-4962
76,-4760
77,-4772
78,-4730
79,-4760
80,-5668
81,-5200
82,-5308
83,-5894
84,-5980
85,-6160
86,-6292
87,-6624
88,-6222
89,-6148
90,-5966
91,-5978
92,-5232
93,-5950
94,-5782
95,-5496
96,-5604
97,-6156
98,-5774
99,-5848
100,-5706
101,-4838
102,-5112
103,-5324
104,-5500
105,-5730
106,-5834
107,-6436
108,-6402
109,-6394
110,-6284
111,-6630
112,-7098
113,-6902
114,-7470
115,-8012
116,-8684
117,-8412
118,-7978
119,-7708
120,-7776
121,-8198
122,-8636
123,-8312
124,-8832
125,-8938
126,-9440
127,-8908
128,-8370
129,-8532
130,-8714
131,-8392
132,-8672
133,-8982
134,-9888
135,-10624
136,-10596
137,-10908
138,-10590
139,-10580
140,-10502
141,-10950
142,-11548
143,-11598
144,-11386
145,-11446
146,-11334
147,-11374
148,-11324
149,-11152
150,-11424
151,-11100
152,-11844
153,-12422
154,-12402
155,-12892
156,-12868
157,-11944
158,-11670
159,-11400
160,-10608
161,-10428
162,-9932
163,-9854
164,-9814
165,-10262
166,-10138
167,-9958
168,-10002
169,-9892
170,-9614
171,-9554
172,-10260
173,-10240
174,-9794
175,-10256
176,-9948
177,-9426
178,-9374
179,-8274
180,-7836
181,-8368
182,-8644
183,-8942
184,-8926
185,-9002
186,-9336
187,-9378
188,-8650
189,-8482
190,-8320
191,-8472
192,-8110
193,-7870
194,-7782
195,-7744
196,-7062
197,-7296
198,-6848
199,-7274
200,-7380
201,-7150
202,-7776
203,-8162
204,-7748
205,-7114
206,-6902
207,-6738
208,-6916
209,-7470
210,-7790
211,-7904
212,-7422
213,-6922
214,-7370
215,-7492
216,-7578
217,-7232
218,-7478
219,-7618
220,-7526
221,-7840
222,-8298
223,-8010
224,-7872
225,-7952
226,-8064
227,-8064
228,-8002
229,-8154
230,-8686
231,-8490
232,-7964
233,-8428
234,-8540
235,-9004
236,-8272
237,-8670
238,-8362
239,-8320
240,-9158
241,-9558
242,-9396
243,-9466
244,-9794
245,-10240
246,-9900
247,-9658
248,-10022
249,-9596
250,-9578
251,-9684
252,-9922
253,-9914
254,-9640
255,-9522
256,-9840
257,-8966
258,-9496
259,-9224
260,-9096
261,-9170
262,-8412
263,-7952
264,-7876
265,-8062
266,-7638
267,-7584
268,-7136
269,-7146
270,-7386
271,-7692
272,-8130
273,-8312
274,-8780
275,-8310
276,-8410
277,-8856
278,-9456
279,-8882
280,-8472
281,-8310
282,-8754
283,-8026
284,-7630
285,-7752
286,-7556
287,-7688
288,-7062
289,-7498
290,-6452
291,-6508
292,-6446
293,-6824
294,-7068
295,-7074
296,-6282
297,-6318
298,-6138
299,-6762
300,-6862
301,-7110
302,-7270
303,-7694
304,-7902
305,-8276
306,-7862
307,-7542
308,-8096
309,-8050
310,-8288
311,-8808
312,-8076
313,-8268
314,-7518
315,-7984
316,-7768
317,-8076
318,-8592
319,-8632
320,-8694
321,-9170
322,-8204
323,-7796
324,-8110
325,-8078
326,-8636
327,-8118
328,-7800
329,-7812
330,-8226
331,-8904
332,-9554
333,-9070
334,-9280
335,-9014
336,-8832
337,-8766
338,-9778
339,-9968
340,-10106
341,-9916
342,-11184
343,-10986
344,-10514
345,-10364
346,-10322
347,-10584
348,-10620
349,-10120
350,-10190
351,-10560
352,-10108
353,-10326
354,-11048
355,-11468
356,-11596
357,-11218
358,-11052
359,-11484
360,-11546
361,-11434
362,-11008
363,-10966
364,-10612
365,-10888
366,-10798
367,-10582
368,-10522
369,-10852
370,-10928
371,-10260
372,-9872
373,-9890
374,-9658
375,-9488
376,-9076
377,-8746
378,-8800
379,-8796
380,-8708
381,-8052
382,-8074
383,-7722
384,-7990
385,-8340
386,-8244
387,-7538
388,-7582
389,-7498
390,-7774
391,-7530
392,-7104
393,-7062
394,-6774
395,-7076
396,-7270
397,-7386
398,-7512
399,-6950
400,-7322
401,-6896
402,-7184
403,-6354
404,-6486
405,-5950
406,-5780
407,-5914
408,-6064
409,-5818
410,-6384
411,-6280
412,-6684
413,-6804
414,-7100
415,-7216
416,-6774
417,-7138
418,-7014
419,-6314
420,-6320
421,-6084
422,-6872
423,-6792
424,-6874
425,-7134
426,-7352
427,-7322
428,-7374
429,-7746
430,-7650
